publication_year,is_bundle,is_subscription,is_audiobook,is_fae,is_romantasy,is_new_adult,is_coming_of_age,is_book_club,is_enemies_to_lovers,is_suspense,is_novels,is_fantasy_romance,is_chick_lit,is_fiction,is_nonfiction,is_fantasy,is_romance,is_young_adult,is_mystery,is_thriller,is_historical_fiction,is_science_fiction,is_horror,combination_fae_romantasy,combination_fiction_romantasy,combination_fiction_newadult,combination_audio_newadult,log_author_followers,log_num_pages,log_author_book_count,log_clean_price
-0.5038691571950695,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0.5403134240442123,-0.07757689759269153,1.0269133916634021,0.9497949973839119
-0.25083980584970006,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6244173949005396,0.912238380359376,-0.38712098708586634,-1.0463413697672002
-0.756898508540439,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.40916491530139654,-0.2814420890596628,-0.8343222417208864,0.8798139902052219
0.5082482481864085,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13405868832898377,0.15553867727952161,-0.1446432796352464,1.1292413753804238
-1.5159865625765476,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.18240217330801028,-0.3553100203167785,2.878624487984624,-1.0463413697672002
1.267336302222517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.122150620945889,0.6885482526722808,-0.4297497383418135,1.0141667858849315
1.5203656535678867,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5846947114873375,0.7249668078227364,-1.4045351591340205,0.8798139902052219
-1.0099278598858086,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.2175812958902121,1.0333890529105947,-1.247629752414215,1.181136354646487
1.773395004913256,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.16966444165068492,-0.037347475740261565,1.4068358329833237,-1.0463413697672002
-2.0220452652672867,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7301920565290819,-1.6154465714741206,-0.036250834628522986,0.8031520890585316
-1.5159865625765476,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.4063165823217636,0.4043445311830687,1.8012557047997897,-1.0463413697672002
0.0021895454956694597,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.25236462395785597,0.639988691530391,0.6658737452094291,0.8798139902052219
1.0143069508771476,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.3154377852281035,-2.202571288711979,0.8517795113167251,0.7183977413068842
-1.5159865625765476,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.7287767354620577,0.24424580013682443,-0.11593892490220253,0.8798139902052219
1.267336302222517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.18294384256297977,0.3466502508353716,1.0540657630062615,0.7183977413068842
-0.5038691571950695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2956008965103311,-0.19190694173393802,-0.17456945751890032,0.9497949973839119
0.5082482481864085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.10660360654871967,0.2394389458796811,0.05764297205429004,0.8031520890585316
0.0021895454956694597,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.3713473343950933,0.4087013283311974,-0.8343222417208864,1.073762208158831
-0.756898508540439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.8650192182054957,-0.01478568609206017,-0.47513058331154445,1.0141667858849315
-1.5159865625765476,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1.209257707392518,0.7851172791321427,1.3838868808949234,-1.0463413697672002
1.267336302222517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.4957857195559225,0.10414852596486392,-1.1194287004274535,0.9497949973839119
0.255218896841039,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25589876954745683,0.43031695158361577,-0.23853708631805942,0.516192582301542
0.0021895454956694597,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0618039631793934,-0.048743353423709786,-0.06182307261821604,0.5276071771539518
1.5203656535678867,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,-0.08642930787740104,0.5424531401801647,-0.7602370420181113,1.0141667858849315
1.267336302222517,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6177057277393069,0.4346068068324283,-1.4045351591340205,1.181136354646487
